route,daytype,rides,PRCP,SNOW,SNWD,TAVG,TMAX,TMIN,year,month
77,1,19727,0.0,0.0,0.0,28.0,38.4,15.5,2018,2
21,1,5433,0.0,0.0,2.9,-2.0,6.666666666666667,-10.5,2018,1
49,1,15889,0.042680412371134,0.0,0.0,56.0,58.1,28.0,2018,1
49B,1,4080,0.0,0.0012658227848101,2.788372093023256,5.0,12.11111111111111,-3.3,2018,1
54B,1,2541,0.1841666666666666,2.327536231884058,3.887037037037037,12.0,18.0,1.4,2018,2
124,0,793,0.0,0.0,0.0,38.0,45.6,30.5,2018,3
111,1,3555,0.0,0.0,0.0,33.0,41.0,28.3,2018,3
49B,1,3569,0.4660227272727272,5.427631578947368,9.230357142857144,24.0,27.8,15.7,2018,2
81,1,10813,0.009375,0.0,1.448888888888889,37.0,48.6,28.2,2018,1
80,1,11048,0.0002083333333333,0.0012345679012345,0.0,32.0,41.9,28.1,2018,3
54,0,7054,0.0116161616161616,0.0,0.0,36.0,47.3,32.5,2018,2
119,1,4729,0.1547524752475247,0.2671232876712329,0.2152173913043478,35.0,41.0,31.3,2018,3
22,1,14642,0.0717073170731707,1.285294117647059,2.0462962962962963,6.0,17.7,-3.6,2018,2
85A,1,446,0.0,0.0,0.0,11.0,24.0,4.1,2018,2
21,0,5474,0.0079166666666666,0.1243243243243243,0.1787234042553191,13.0,18.9,5.6,2018,1
155,0,4117,0.1294059405940594,0.0,0.0,40.0,48.3,33.3,2018,2
71,1,9130,0.0031578947368421,0.0,5.602083333333333,41.0,46.4,32.4,2018,2
63W,0,417,0.0,0.0,2.76046511627907,5.0,14.6,-4.2,2018,1
56,1,8540,0.0005376344086021,0.0,2.180434782608696,32.0,37.1,22.8,2018,1
48,1,991,0.0131578947368421,0.0432835820895522,0.3339622641509434,29.0,30.6,26.6,2018,1
112,1,1457,0.0777142857142857,0.0,0.0,45.0,50.9,36.6,2018,3
91,0,3086,0.0,0.0,0.0,36.0,41.333333333333336,31.22222222222222,2018,3
53A,1,7403,0.009375,0.0,1.448888888888889,37.0,48.6,28.2,2018,1
151,1,14554,0.0031578947368421,0.0,5.602083333333333,41.0,46.4,32.4,2018,2
106,1,1576,0.0,0.0,0.0,34.0,44.44444444444444,24.0,2018,3
29,1,11170,0.0953465346534653,0.0,0.0,40.0,43.2,33.1,2018,2
85,1,9083,0.009375,0.0,1.448888888888889,37.0,48.6,28.2,2018,1
15,1,4828,0.0022826086956521,0.1549295774647887,3.0428571428571427,11.0,16.4,-0.8,2018,1
73,1,5558,0.0,0.0,0.0,33.0,41.0,28.3,2018,3
X9,1,8652,0.0171264367816091,0.2055555555555555,13.267307692307693,15.0,25.8,3.1,2018,2
8,1,22472,0.1173626373626373,1.7386666666666668,5.082456140350877,17.0,21.8,6.2,2018,2
73,1,5629,0.0026881720430107,0.0073529411764705,0.2833333333333333,31.0,38.3,23.9,2018,1
1001,0,13,0.3340425531914893,3.534567901234568,13.872727272727271,20.0,23.5,12.9,2018,2
20,0,6738,0.0002150537634408,0.0,0.108695652173913,40.0,45.9,34.5,2018,1
132,1,174,0.1461538461538461,2.526582278481013,2.6293103448275863,19.0,22.8,5.7,2018,1
57,0,966,0.005268817204301,0.0675,2.84,25.0,36.9,14.5,2018,2
82,1,16798,0.0002083333333333,0.0,0.0,41.0,48.9,31.2,2018,1
106,1,1452,0.0717073170731707,1.285294117647059,2.0462962962962963,6.0,17.7,-3.6,2018,2
55N,1,498,0.1985263157894737,0.0254545454545454,0.0116279069767441,23.0,37.3,16.7,2018,1
80,0,6598,0.0,0.0,0.0,36.0,41.333333333333336,31.22222222222222,2018,3
156,1,3619,0.1461538461538461,2.526582278481013,2.6293103448275863,19.0,22.8,5.7,2018,1
88,1,1336,0.0131578947368421,0.0432835820895522,0.3339622641509434,29.0,30.6,26.6,2018,1
6,0,5132,0.003010752688172,0.0371794871794871,0.1309523809523809,12.0,18.8,3.7,2018,1
146,1,11207,0.0547777777777777,1.421794871794872,3.726984126984127,15.0,24.1,5.6,2018,1
X9,1,9035,0.0,0.0,0.0,33.0,38.6,27.7,2018,3
94,0,3250,0.0,0.0,0.0,38.0,45.6,30.5,2018,3
30,1,3268,0.0579,0.8306666666666667,0.7895833333333333,30.0,42.9,19.8,2018,3
50,1,9779,0.509622641509434,0.0,0.0,39.0,50.2,34.2,2018,3
1,1,1930,0.042680412371134,0.0,0.0,56.0,58.1,28.0,2018,1
31,1,569,0.0002020202020202,0.0,0.0,40.0,51.0,28.0,2018,2
111,0,1381,0.0,0.0,0.0,34.0,41.1,25.7,2018,3
